scorer,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000,DLC_resnet50_drew_Sut3_191117_redoApr9shuffle1_300000
bodyparts,pupil1,pupil1,pupil1,pupil2,pupil2,pupil2,pupil3,pupil3,pupil3,pupil4,pupil4,pupil4,eyelid,eyelid,eyelid
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,342.62945556640625,148.67193603515625,1.0,354.130615234375,174.4075469970703,1.0,356.6842956542969,156.89810180664062,1.0,340.309814453125,166.35072326660156,1.0,304.1908874511719,135.7850799560547,1.0
1,345.5028381347656,149.74786376953125,1.0,355.55621337890625,173.14511108398438,1.0,359.4388427734375,156.6138153076172,1.0,342.65032958984375,165.9601287841797,1.0,306.654296875,135.94503784179688,1.0
2,344.1726989746094,148.9330291748047,1.0,353.9516906738281,172.8261260986328,1.0,357.22247314453125,156.4596710205078,1.0,342.0758056640625,166.50692749023438,1.0,306.55755615234375,135.24432373046875,1.0
3,344.0633239746094,149.02481079101562,1.0,353.6729736328125,172.85787963867188,1.0,357.1561584472656,156.63363647460938,1.0,341.5975341796875,166.3389129638672,1.0,305.38226318359375,135.27000427246094,1.0
4,343.11260986328125,148.77999877929688,1.0,353.4056396484375,172.66322326660156,1.0,356.4266662597656,156.4955291748047,1.0,341.32757568359375,166.0004425048828,1.0,305.861083984375,133.94935607910156,1.0
5,344.140380859375,148.43919372558594,1.0,354.2233581542969,173.0802459716797,1.0,357.8993225097656,156.17196655273438,1.0,341.9249267578125,165.56178283691406,1.0,306.5632019042969,134.54025268554688,1.0
6,345.4496154785156,148.3424530029297,1.0,355.54046630859375,172.64117431640625,1.0,359.0171203613281,155.74659729003906,1.0,343.5670166015625,166.1570587158203,1.0,306.97607421875,133.54981994628906,1.0
7,345.0756530761719,147.63063049316406,1.0,356.1006164550781,172.61973571777344,1.0,359.70159912109375,155.52731323242188,1.0,343.6850280761719,166.10983276367188,1.0,306.1630554199219,134.69439697265625,1.0
8,344.3102722167969,147.627197265625,1.0,356.08251953125,172.61358642578125,1.0,359.5529479980469,155.23004150390625,1.0,342.4327392578125,165.66122436523438,1.0,306.44622802734375,133.8605499267578,1.0
9,344.0591735839844,147.80795288085938,1.0,355.5509338378906,172.4121551513672,1.0,358.69024658203125,155.07174682617188,1.0,342.34991455078125,166.11190795898438,1.0,305.1341857910156,135.01123046875,1.0
10,343.9242248535156,147.7877960205078,1.0,355.13128662109375,172.40797424316406,1.0,358.4378356933594,155.48638916015625,1.0,342.38623046875,166.2092742919922,1.0,305.6980895996094,134.7569580078125,1.0
11,343.9628601074219,148.57493591308594,1.0,355.1649475097656,173.99166870117188,1.0,357.79302978515625,155.9868927001953,1.0,341.6734313964844,165.77745056152344,1.0,305.80853271484375,134.51625061035156,1.0
12,343.52215576171875,148.59568786621094,1.0,354.70965576171875,173.92251586914062,1.0,357.5324401855469,156.0691680908203,1.0,341.15911865234375,166.0897216796875,1.0,305.26226806640625,134.32269287109375,1.0
13,342.9527282714844,149.15646362304688,1.0,354.491455078125,174.1527099609375,1.0,356.9008483886719,156.68121337890625,1.0,340.7442932128906,166.528564453125,1.0,305.5885925292969,133.20359802246094,1.0
14,342.8257141113281,148.87142944335938,1.0,353.52606201171875,173.1795196533203,1.0,356.7459411621094,156.57945251464844,1.0,340.68499755859375,166.0943603515625,1.0,304.3272705078125,133.99327087402344,1.0
15,343.02606201171875,148.79730224609375,1.0,354.3019104003906,174.14833068847656,1.0,356.3830871582031,156.46038818359375,1.0,340.39227294921875,165.97410583496094,1.0,305.0942687988281,133.23619079589844,1.0
16,342.382568359375,148.1620635986328,1.0,354.55755615234375,173.9041290283203,1.0,356.9144287109375,156.0738067626953,1.0,340.02252197265625,166.3333282470703,1.0,304.6932678222656,133.3787078857422,1.0
17,342.12353515625,147.98406982421875,1.0,354.2620849609375,173.86688232421875,1.0,356.87152099609375,156.28736877441406,1.0,339.8164978027344,165.93655395507812,1.0,304.3439636230469,134.1026611328125,1.0
18,342.27728271484375,148.64804077148438,1.0,354.1180419921875,174.15077209472656,1.0,356.44171142578125,156.431396484375,1.0,339.2457580566406,165.74508666992188,1.0,305.07275390625,133.594970703125,1.0
19,342.1021728515625,148.18643188476562,1.0,353.0284118652344,173.41827392578125,1.0,356.3610534667969,156.3955078125,1.0,339.6302795410156,166.1042022705078,1.0,304.1004333496094,134.12606811523438,1.0
20,342.84832763671875,148.52981567382812,1.0,354.8070983886719,174.22018432617188,1.0,357.2259521484375,156.7215576171875,1.0,340.28216552734375,166.2648162841797,1.0,305.6804504394531,134.5937957763672,1.0
21,345.4217224121094,147.4099884033203,1.0,357.4975891113281,173.505126953125,1.0,360.37066650390625,155.46055603027344,1.0,342.6507873535156,166.07901000976562,1.0,307.0564880371094,134.41690063476562,1.0
22,347.7808532714844,147.00946044921875,1.0,359.5774230957031,173.4226837158203,1.0,362.5061950683594,155.03958129882812,1.0,344.82928466796875,165.8922882080078,1.0,308.39910888671875,134.7703094482422,1.0
23,346.9132385253906,148.7880859375,1.0,357.8604431152344,173.96546936035156,1.0,360.8673095703125,155.4783935546875,1.0,343.9285888671875,166.43922424316406,1.0,308.8233947753906,134.61624145507812,1.0
24,347.4462585449219,148.29502868652344,1.0,358.1683349609375,174.2239990234375,1.0,361.7451477050781,155.42135620117188,1.0,344.4527893066406,166.49229431152344,1.0,308.5188293457031,133.48348999023438,1.0
25,345.1264343261719,147.90579223632812,1.0,356.4370422363281,172.87060546875,1.0,359.85943603515625,155.2626495361328,1.0,342.58233642578125,165.8132781982422,1.0,306.9934387207031,134.75975036621094,1.0
26,346.14697265625,148.72378540039062,1.0,356.64971923828125,173.4590301513672,1.0,359.8482666015625,155.2841339111328,1.0,343.5807800292969,166.0303955078125,1.0,308.2908935546875,132.2502899169922,1.0
27,344.1024475097656,148.59901428222656,1.0,355.2690734863281,172.66358947753906,1.0,358.9776611328125,155.40028381347656,1.0,341.6775817871094,165.8767547607422,1.0,307.35723876953125,132.71182250976562,1.0
28,344.1947326660156,148.0282745361328,1.0,355.1772155761719,172.47402954101562,1.0,358.5210876464844,155.52120971679688,1.0,342.2626647949219,166.1077880859375,1.0,306.5703430175781,133.25405883789062,1.0
29,343.9554748535156,148.68612670898438,1.0,355.1396179199219,172.97438049316406,1.0,359.1775207519531,155.8446502685547,1.0,341.9303894042969,166.22076416015625,1.0,306.92596435546875,132.06736755371094,1.0
30,342.1856384277344,148.1125946044922,1.0,354.95166015625,174.35865783691406,1.0,357.82916259765625,155.88275146484375,1.0,340.29376220703125,166.3119354248047,1.0,304.81787109375,133.943115234375,1.0
31,342.263671875,148.1000213623047,1.0,354.2583312988281,173.93576049804688,1.0,357.0066223144531,156.0884246826172,1.0,340.1584167480469,166.1022186279297,1.0,305.36480712890625,132.92601013183594,1.0
32,342.14691162109375,148.71473693847656,1.0,354.3304443359375,174.16732788085938,1.0,356.8819885253906,155.9202880859375,1.0,340.44598388671875,166.49620056152344,1.0,304.8652038574219,132.9154052734375,1.0
33,341.69586181640625,148.02401733398438,1.0,354.442626953125,174.29737854003906,1.0,357.3408508300781,155.92234802246094,1.0,339.3190002441406,166.39883422851562,1.0,304.4089050292969,133.89727783203125,1.0
